timeSec,positionX,positionY,positionZ,positionErrorM,speedMps,insideBox,currentX,currentY,currentZ,forceX,forceY,forceZ
0.000000000000000000e+00,1.930865815279931078e-02,6.741322255048799450e-01,-5.335624042432759451e-01,8.599511154511568778e-01,4.457673476116404826e-02,0.000000000000000000e+00,-5.326770809112035820e-03,-4.524862941697378738e-02,-3.065880039280562304e-03,-5.500000000000000000e+00,-5.500000000000000000e+00,5.500000000000000000e+00
5.000000000000000278e-02,2.081601333028731959e-02,6.713967202441857296e-01,-5.322317258735187462e-01,8.570166115029046461e-01,6.789937727586466132e-02,0.000000000000000000e+00,-5.204071245702754367e-03,-4.532128279400899490e-02,-3.146674907703130020e-03,0.000000000000000000e+00,-1.100000000000000000e+01,1.100000000000000000e+01
1.000000000000000056e-01,2.168440123886125961e-02,6.669599337618625778e-01,-5.292382490221841929e-01,8.517035227875856540e-01,1.084436729532129440e-01,0.000000000000000000e+00,-5.079884315520123705e-03,-4.539342341593288754e-02,-3.227242430232428200e-03,-5.500000000000000000e+00,-1.650000000000000355e+01,1.650000000000000355e+01
1.500000000000000222e-01,2.251093544724096923e-02,6.603126131375438579e-01,-5.240715625925815857e-01,8.433092505133995553e-01,1.691918188825394243e-01,0.000000000000000000e+00,-4.954215265443470684e-03,-4.546504982190036070e-02,-3.307576785900010006e-03,0.000000000000000000e+00,-2.200000000000000000e+01,2.200000000000000000e+01
2.000000000000000111e-01,2.272450720100545329e-02,6.509646034022509298e-01,-5.162403954560755848e-01,8.311290297004573224e-01,2.439328412699106607e-01,0.000000000000000000e+00,-4.827069404971469357e-03,-4.553616056147911928e-02,-3.387672170583616235e-03,-5.500000000000000000e+00,-2.750000000000000000e+01,2.750000000000000000e+01
2.500000000000000000e-01,2.292126041630502403e-02,6.384441313679165564e-01,-5.052718986924337186e-01,8.145157976770386332e-01,3.329317365733122647e-01,0.000000000000000000e+00,-4.698452105997806549e-03,-4.560675419467913327e-02,-3.467522797426553401e-03,0.000000000000000000e+00,-3.300000000000000000e+01,3.300000000000000000e+01
3.000000000000000444e-01,2.367498636119268196e-02,6.234429496466138421e-01,-4.907109547461940835e-01,7.937498708983795614e-01,4.183896004640051958e-01,0.000000000000000000e+00,-4.568368802584231447e-03,-4.567682929198173258e-02,-3.547122897255763387e-03,5.500000000000000000e+00,-2.750000000000000000e+01,3.850000000000000000e+01
3.500000000000000333e-01,2.439212853628943203e-02,6.058536332208177555e-01,-4.721195124897032414e-01,7.684727938547408765e-01,5.120703351698924211e-01,0.000000000000000000e+00,-4.436824990730968421e-03,-4.574638443436859075e-02,-3.626466718998655383e-03,0.000000000000000000e+00,-2.942308366298675537e+01,4.399999999999999289e+01
4.000000000000000222e-01,2.470069908996222474e-02,5.852744973412007390e-01,-4.492379444005150657e-01,7.382215740973223639e-01,6.155200102542538465e-01,1.000000000000000000e+00,-4.303826228144499999e-03,-4.581541821335045894e-02,-3.705548530098632439e-03,-3.586647510528564453e+00,-3.420974314212799072e+01,4.794482707977294922e+01
4.500000000000000111e-01,2.404335488152430783e-02,5.623904484457895592e-01,-4.228001946404351674e-01,7.040036249942218660e-01,6.994473268610134076e-01,1.000000000000000000e+00,-4.169378134002726943e-03,-4.588392923099567089e-02,-3.784362616929238914e-03,-9.086647510528564453e+00,-2.870974314212799072e+01,4.244482707977294922e+01
