timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
5.500000000000000444e-01,2.987865011686873018e+00,-1.964970025644779739e+00,6.088293392727441855e-01,-1.150246074006916891e-01,4.477903472349913372e-01,-6.243387481382879356e-01,1.108482636235322144e-01,-3.795622538530357692e-02,-2.382318798703051499e+01,6.672902479702635503e+01,-6.250144241667463518e+00,3.576093473295272052e+00,-6.088293392727441855e-01,7.085412504736440553e+01,-5.481686173773293547e+01,1.240681067439169851e+02
6.000000000000000888e-01,2.974522665179430980e+00,-1.950395772428056729e+00,5.774068330308717023e-01,-1.433103552775598921e-01,5.203000318355629483e-01,-6.324890364247401919e-01,1.111751376903245964e-01,-3.788168935606617271e-02,-2.875431365869484779e+01,7.014721139378390546e+01,-5.252479219390437493e+00,3.556940926522589752e+00,-5.774068330308717023e-01,7.581188442656475956e+01,-5.792727682802388500e+01,1.175991104705220920e+02
6.500000000000000222e-01,2.958447027142677044e+00,-1.932944307973478271e+00,5.457508496827290223e-01,-1.773461394645685640e-01,5.949830543780049164e-01,-6.337391823159910231e-01,1.115191714344111740e-01,-3.779123302415979962e-02,-3.438324480985253473e+01,7.222450147837164991e+01,-4.370896602084064497e+00,3.533933008722210278e+00,-5.457508496827290223e-01,7.999116287099194267e+01,-6.045053682688421048e+01,1.105769453205440271e+02
7.000000000000000666e-01,2.939509238528244417e+00,-1.912526018263596583e+00,5.141783498307614941e-01,-2.179047523806114661e-01,6.700350849979044288e-01,-6.292011598211193490e-01,1.118808939242240535e-01,-3.768408313933443998e-02,-4.037432339389562230e+01,7.255157547584049382e+01,-3.594259928628202871e+00,3.506917497451017329e+00,-5.141783498307614941e-01,8.302901356478618311e+01,-6.236383134407038398e+01,1.031948083924680617e+02
7.500000000000000000e-01,2.917598607866107141e+00,-1.889140828975709008e+00,4.829539755223986042e-01,-2.653044322693678403e-01,7.431777190716883918e-01,-6.198568934163868338e-01,1.122602969940661860e-01,-3.755957544914052121e-02,-4.617184141160529975e+01,7.100600605509883678e+01,-2.912321942055346113e+00,3.475807058558526119e+00,-4.829539755223986042e-01,8.469764952603563302e+01,-6.366782481434700003e+01,9.565631796793830688e+01
8.000000000000000444e-01,2.892641872670048464e+00,-1.862882159313310027e+00,4.522962367677298978e-01,-3.191333649033997744e-01,8.120448057610369919e-01,-6.065707850251093047e-01,1.126568115214328092e-01,-3.741727026736339778e-02,-5.011936213059914280e+01,6.865165358257486616e+01,-2.315670019806004731e+00,3.440596887607135113e+00,-4.522962367677298978e-01,8.500000000000000000e+01,-6.433636246728660524e+01,8.812557624652139054e+01
8.500000000000000888e-01,2.864641353104643517e+00,-1.833883000885240255e+00,4.223830970532751472e-01,-3.768354605098436227e-01,8.757216920322169473e-01,-5.901012361283977103e-01,1.130696309540463740e-01,-3.725718139602700318e-02,-5.305950515257691080e+01,6.640548857559640794e+01,-1.795673142794743882e+00,3.401366922702262041e+00,-4.223830970532751472e-01,8.500000000000000000e+01,-6.447338967655355191e+01,8.069029157518293971e+01
9.000000000000000222e-01,2.833665856918358372e+00,-1.802256929982338107e+00,3.933570065270113325e-01,-4.370101405831808283e-01,9.345098458047486067e-01,-5.711112271856810807e-01,1.134980652365062681e-01,-3.707972155499436595e-02,-5.593921581581596314e+01,6.399846977789050584e+01,-1.344430619354607614e+00,3.358242431739289824e+00,-3.933570065270113325e-01,8.500000000000000000e+01,-6.413146287539393597e+01,7.337098721863692674e+01
9.500000000000000666e-01,2.799789793917395020e+00,-1.768111348063431842e+00,3.653294284669450498e-01,-4.995209499463488800e-01,9.883528931796711214e-01,-5.501780147173078728e-01,1.139414613676824339e-01,-3.688533706881270968e-02,-5.874167671056505213e+01,6.143627118593265379e+01,-9.547227295268161384e-01,3.311350272815410722e+00,-3.653294284669450498e-01,8.500000000000000000e+01,-6.330213530897152907e+01,6.620592685246093367e+01
1.000000000000000000e+00,2.763069800887680838e+00,-1.731568969913962031e+00,3.383849016798712306e-01,-5.642127591009555854e-01,1.037203561806166796e+00,-5.278020043412746665e-01,1.143990744720729952e-01,-3.667436761624750380e-02,-6.149232591264327397e+01,5.868299458832398585e+01,-6.199634113413416969e-01,3.260810608138164923e+00,-3.383849016798712306e-01,8.500000000000001421e+01,-6.200480844086314391e+01,5.917206389874266392e+01
1.050000000000000044e+00,2.723545244026344569e+00,-1.692768255425904478e+00,3.125846786187893578e-01,-6.309671473946395492e-01,1.080969552350353746e+00,-5.044148558183962905e-01,1.148700652094337415e-01,-3.644704924487364439e-02,-6.035321224720433264e+01,5.279211858748928421e+01,-3.341550729737985392e-01,3.206737136535544153e+00,-3.125846786187893578e-01,8.018427535066727785e+01,-6.025052510680396978e+01,5.226107657708046617e+01
1.100000000000000089e+00,2.681386248690686980e+00,-1.651919192098817657e+00,2.879699762644332139e-01,-6.946778627116489968e-01,1.115745009342688165e+00,-4.803868737935750866e-01,1.153531650800808245e-01,-3.620440254957162096e-02,-5.864660496360080089e+01,4.703994581717445556e+01,-9.184558231183004295e-02,3.149391882870711701e+00,-2.879699762644332139e-01,7.518098680011692636e+01,-5.828597050832083681e+01,4.582441620258233428e+01
1.150000000000000133e+00,2.636898013660050388e+00,-1.609297648694579141e+00,2.645648741938737558e-01,-7.546782160813104712e-01,1.141989061067757882e+00,-4.560337354670573329e-01,1.158467103032710110e-01,-3.594825855810128423e-02,-5.668232355051726756e+01,4.137058972232430420e+01,1.119125420768209977e-01,3.089185986071123491e+00,-2.645648741938737558e-01,7.017415120297793862e+01,-5.616257969667749705e+01,3.987049255401590386e+01
1.200000000000000178e+00,2.590373958250212993e+00,-1.565185387952587659e+00,2.423788917606448656e-01,-8.107199906040480908e-01,1.160074177571466914e+00,-4.316226039244344115e-01,1.163490017412189825e-01,-3.568037761379082295e-02,-5.446414582704538532e+01,3.579567379586468689e+01,2.816007378519858051e-01,3.026523177218567007e+00,-2.423788917606448656e-01,6.517417773297657391e+01,-5.391224867214935301e+01,3.440859817697249667e+01
1.250000000000000000e+00,2.542089608303918169e+00,-1.519872186394346292e+00,2.214092739381174901e-01,-8.625656915419857018e-01,1.170376305573586739e+00,-4.073776733280586315e-01,1.168582921805778885e-01,-3.540241269148274028e-02,-5.197526835400911693e+01,3.033623344687170942e+01,4.212708224510821609e-01,2.961795239313801620e+00,-2.214092739381174901e-01,6.018069109119933557e+01,-5.156859821050566950e+01,2.944418817175216674e+01
1.300000000000000044e+00,2.492306020645303377e+00,-1.473652270289960153e+00,2.016430131313122764e-01,-9.099615329282493281e-01,1.173286950997296740e+00,-3.834851896511258240e-01,1.173728077169484546e-01,-3.511592994426326886e-02,-4.919050117543532252e+01,2.502162417043960829e+01,5.345792682002725726e-01,2.895382585130259034e+00,-2.016430131313122764e-01,5.518864993834539234e+01,-4.916785833516789950e+01,2.497841127642968928e+01
1.350000000000000089e+00,2.441274040109845611e+00,-1.426820276910769403e+00,1.830586321412130957e-01,-9.526269136387738312e-01,1.169223471734742503e+00,-3.600979881403517657e-01,1.178907719876708809e-01,-3.482243424564507306e-02,-4.674898436285837278e+01,2.100775325360664070e+01,6.248193771220558190e-01,2.827655396528716558e+00,-1.830586321412130957e-01,5.125225103079080213e+01,-4.674898436285837278e+01,2.100775325360664070e+01
1.400000000000000133e+00,2.389211149478014828e+00,-1.379634839371741917e+00,1.656277514681838703e-01,-9.911188933184695848e-01,1.160087418619891952e+00,-3.373395862416403990e-01,1.184106246630777098e-01,-3.452323028917228531e-02,-4.430484217367595789e+01,1.744250560795395089e+01,6.949514142166597352e-01,2.758934976906550762e+00,-1.656277514681838703e-01,4.761470405156206454e+01,-4.430484217367595789e+01,1.744250560795395089e+01
1.450000000000000178e+00,2.336296473186135536e+00,-1.332308547834748946e+00,1.493164622647311646e-01,-1.025531740488501597e+00,1.146617546032878243e+00,-3.153078683298462526e-01,1.189310816795815240e-01,-3.421939261068894511e-02,-4.185298044782872751e+01,1.425232401579109620e+01,7.476307663878047904e-01,2.689484574645393256e+00,-1.493164622647311646e-01,4.421312827902396947e+01,-4.185298044782872751e+01,1.425232401579109620e+01
1.500000000000000000e+00,2.282692383895532640e+00,-1.285033721296320763e+00,1.340865244894069441e-01,-1.055950893137253432e+00,1.129434370200336657e+00,-2.940783962602483426e-01,1.194509806092550336e-01,-3.391189522775721332e-02,-3.941088162505195669e+01,1.141040552809333519e+01,7.852342006196506574e-01,2.619541216389492000e+00,-1.340865244894069441e-01,4.102943997642913132e+01,-3.941088162505195669e+01,1.141040552809333519e+01
