timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
5.000000000000000000e-01,3.100471541873846437e+00,-2.009563714025660808e+00,6.396422499073288748e-01,-9.988280338049800033e-02,3.767040724501170557e-01,-6.080326983584495304e-01,3.206022468857867569e-01,-1.021214159049400050e-01,-2.109967982346298854e+01,6.190393763007227790e+01,-7.375973168509288413e+00,3.694762523180372682e+00,-6.396422499073288748e-01,6.540102432500984264e+01,-6.077730136242991676e+01,1.435458677442659052e+02
5.500000000000000444e-01,3.099928716345417445e+00,-2.001271528678051137e+00,6.088293392727441855e-01,-1.249814999418999567e-01,4.451739106749829089e-01,-6.243387481382879356e-01,3.218459464247430124e-01,-1.021340724644258929e-01,-2.535292285130731926e+01,6.613594941480226908e+01,-6.250144241667463518e+00,3.689802945676141643e+00,-6.088293392727441855e-01,7.082891007280589690e+01,-6.480211501582212463e+01,1.377427929576325596e+02
6.000000000000000888e-01,3.096769489763395722e+00,-1.990331719345979078e+00,5.774068330308717023e-01,-1.550233575813677600e-01,5.169967591072417434e-01,-6.324890364247401919e-01,3.231421710750986831e-01,-1.020966388318859663e-01,-3.036108526221871529e+01,6.944023591356931036e+01,-5.252479219390437493e+00,3.681222843806683187e+00,-5.774068330308717023e-01,7.578747826674189980e+01,-6.856249726864945160e+01,1.313761649119411175e+02
6.500000000000000222e-01,3.090856575221676117e+00,-1.976584063070529806e+00,5.457508496827290223e-01,-1.908743213162659991e-01,5.908667692375344505e-01,-6.337391823159910231e-01,3.244940865087236337e-01,-1.020063688571842542e-01,-3.602705995321804266e+01,7.141424979420821728e+01,-4.370896602084064497e+00,3.668825278883620200e+00,-5.457508496827290223e-01,7.998714973383121674e+01,-7.167195080056700363e+01,1.243807440456152591e+02
7.000000000000000666e-01,3.082060008821889241e+00,-1.959938944359267410e+00,5.141783498307614941e-01,-2.332537966229546456e-01,6.649972938530013256e-01,-6.292011598211193490e-01,3.259034462649399444e-01,-1.018606628145409532e-01,-4.202272770337474128e+01,7.164221520766147933e+01,-3.594259928628202871e+00,3.652458701148488807e+00,-5.141783498307614941e-01,8.305730939232778098e+01,-7.424953366356790241e+01,1.170428905615866313e+02
7.500000000000000000e-01,3.070269634807107462e+00,-1.940394546161953393e+00,4.829539755223986042e-01,-2.824376873356980733e-01,7.371186989416848023e-01,-6.198568934163868338e-01,3.273702479324029357e-01,-1.016573171052135294e-01,-4.778969615906919444e+01,6.998629406490584870e+01,-2.912321942055346113e+00,3.632036154169396625e+00,-4.829539755223986042e-01,8.474630620809162451e+01,-7.622699079499506070e+01,1.095252630641494136e+02
8.000000000000000444e-01,3.055414705121952235e+00,-1.918041821491056842e+00,4.522962367677298978e-01,-3.379693451476524779e-01,8.048533711491356879e-01,-6.065707850251093047e-01,3.288926337180859139e-01,-1.013949162487068067e-01,-5.145723669880895557e+01,6.765465831206857672e+01,-2.315670019806004731e+00,3.607553665472517768e+00,-4.522962367677298978e-01,8.500000000000000000e+01,-7.757653355827220309e+01,1.019956415778756451e+02
8.500000000000000888e-01,3.037506728699635783e+00,-1.893004103722762732e+00,4.223830970532751472e-01,-3.969702454093115840e-01,8.674624680489313455e-01,-5.901012361283977103e-01,3.304680982426549396e-01,-1.010736898685220264e-01,-5.426745824586630818e+01,6.542203738445599015e+01,-1.795673142794743882e+00,3.579093693046716318e+00,-4.223830970532751472e-01,8.500000000000000000e+01,-7.841670866993696620e+01,9.453512311056856277e+01
9.000000000000000222e-01,3.016625409182062345e+00,-1.865381517414447687e+00,3.933570065270113325e-01,-4.582443895961991753e-01,9.252335679677675673e-01,-5.711112271856810807e-01,3.320946003255124124e-01,-1.006952314465675569e-01,-5.699584991164523018e+01,6.305928236865061365e+01,-1.344430619354607614e+00,3.546784045418366560e+00,-3.933570065270113325e-01,8.500000000000000000e+01,-7.878639990651913649e+01,8.716799286643372113e+01
9.500000000000000666e-01,2.992852700252389475e+00,-1.835270376982171658e+00,3.653294284669450498e-01,-5.216321644427887039e-01,9.781485089710824088e-01,-5.501780147173078728e-01,3.337701750126401690e-01,-1.002611794298199910e-01,-5.962587395890232500e+01,6.057850406404150334e+01,-9.547227295268161384e-01,3.510752717300992476e+00,-3.653294284669450498e-01,8.500000000000000000e+01,-7.867638162712276539e+01,7.993337770491737615e+01
