timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
5.000000000000000000e-01,2.933731426045174118e+00,-1.836983592752299277e+00,6.396422499073288748e-01,-1.212884770142577395e-01,3.704073271219936458e-01,-6.080326983584495304e-01,-7.871410856649512303e-03,2.505918137295369275e-01,-2.506712283180809919e+01,6.023545437571492300e+01,-7.375973168509288413e+00,3.461399832467523030e+00,-6.396422499073288748e-01,6.524316524291099029e+01,-5.537678168731007133e+01,1.074174857524164395e+02
5.500000000000000444e-01,2.916014044236229896e+00,-1.812044846488308325e+00,6.088293392727441855e-01,-1.510451389783483145e-01,4.369118321479855682e-01,-6.243387481382879356e-01,-6.572544675741146675e-03,2.507541051852645309e-01,-2.978880675342240281e+01,6.393757551694854868e+01,-6.250144241667463518e+00,3.433168278990671674e+00,-6.088293392727441855e-01,7.053642017268981590e+01,-5.783555627516769704e+01,1.008516632622782225e+02
6.000000000000000888e-01,2.895512657574018878e+00,-1.784657546405356676e+00,5.774068330308717023e-01,-1.862450657250939445e-01,5.061441101343900906e-01,-6.324890364247401919e-01,-5.249296887699327757e-03,2.509428196242541875e-01,-3.519277314605120210e+01,6.654470942745994932e+01,-5.252479219390437493e+00,3.401322699790912729e+00,-5.774068330308717023e-01,7.527768350908853279e+01,-5.990861389444084040e+01,9.380902007373175877e+01
6.500000000000000222e-01,2.872074820226159453e+00,-1.754694896615138555e+00,5.457508496827290223e-01,-2.276480449153248931e-01,5.766011055840430943e-01,-6.337391823159910231e-01,-3.900408978007001079e-03,2.511594815873454678e-01,-4.108226610814241297e+01,6.769095226799511522e+01,-4.370896602084064497e+00,3.365674962497765765e+00,-5.457508496827290223e-01,7.918217986092716387e+01,-6.135852470951270021e+01,8.631819091754978501e+01
7.000000000000000666e-01,2.845563694595763415e+00,-1.722103368482170715e+00,5.141783498307614941e-01,-2.757402330552875536e-01,6.463525563630754256e-01,-6.292011598211193490e-01,-2.525355103654956107e-03,2.514054595401964964e-01,-4.705949581941381155e+01,6.716872149650190238e+01,-3.594259928628202871e+00,3.326089708913325449e+00,-5.141783498307614941e-01,8.201361651733242297e+01,-6.209409580361506897e+01,7.852676056076136035e+01
7.500000000000000000e-01,2.815871171965833586e+00,-1.686911515758303004e+00,4.829539755223986042e-01,-3.304791496473653001e-01,7.132593362724708452e-01,-6.198568934163868338e-01,-1.124430244401949247e-03,2.516818346668397433e-01,-5.268786242385415619e+01,6.508990227251423732e+01,-2.912321942055346113e+00,3.282499187982566902e+00,-4.829539755223986042e-01,8.374190244220892509e+01,-6.218608432967327104e+01,7.066285137300782537e+01
8.000000000000000444e-01,2.782930003239258987e+00,-1.649224015557819722e+00,4.522962367677298978e-01,-3.912555845810997135e-01,7.753937321116138870e-01,-6.065707850251093047e-01,3.013093875592759430e-04,2.519892795622809545e-01,-5.773189774041161115e+01,6.184063962918712321e+01,-2.315670019806004731e+00,3.234909466495456964e+00,-4.522962367677298978e-01,8.460045346483866524e+01,-6.162733489315599655e+01,6.286951809063622676e+01
8.500000000000000888e-01,2.746714791309730952e+00,-1.609203260402691127e+00,4.223830970532751472e-01,-4.571684005321587918e-01,8.313881016307107519e-01,-5.901012361283977103e-01,1.750230427234419905e-03,2.523280483087901316e-01,-6.001344924890333488e+01,5.629135835012952072e+01,-1.795673142794743882e+00,3.183390845951893144e+00,-4.223830970532751472e-01,8.228202182526504771e+01,-6.043682752692924254e+01,5.526160068589778973e+01
9.000000000000000222e-01,2.707315407310284971e+00,-1.567067122602133988e+00,3.933570065270113325e-01,-5.245052349862352470e-01,8.784542558494475850e-01,-5.711112271856810807e-01,3.220144713117000651e-03,2.526972423134151713e-01,-5.914131784352741050e+01,5.035508116558388991e+01,-1.344430619354607614e+00,3.128139396094775648e+00,-3.933570065270113325e-01,7.767451110539205672e+01,-5.880043808712391495e+01,4.803483824331543417e+01
9.500000000000000666e-01,2.664996385884884855e+00,-1.523047810383674872e+00,3.653294284669450498e-01,-5.891319288166061430e-01,9.163684841357322419e-01,-5.501780147173078728e-01,4.708720725962666290e-03,2.530942163552655777e-01,-5.773324425628461398e+01,4.452264353000567354e+01,-9.547227295268161384e-01,3.069508164102842773e+00,-3.653294284669450498e-01,7.290674371589898328e+01,-5.694190114812403181e+01,4.124478975268360159e+01
1.000000000000000000e+00,2.620097470543917062e+00,-1.477364608074732910e+00,3.383849016798712306e-01,-6.504150136945756611e-01,9.455497752287230773e-01,-5.278020043412746665e-01,6.213756187058277689e-03,2.535155731319567174e-01,-5.603870664869518237e+01,3.876690358656963298e+01,-6.199634113413416969e-01,3.007909064506844921e+00,-3.383849016798712306e-01,6.814109961358782641e+01,-5.490278821854355584e+01,3.490859377295056731e+01
1.050000000000000044e+00,2.572943695787405449e+00,-1.430249345499485569e+00,3.125846786187893578e-01,-7.080602521617168632e-01,9.663689384072277067e-01,-5.044148558183962905e-01,7.732923364338199421e-03,2.539580624383773189e-01,-5.409633343418754237e+01,3.309000423079774578e+01,-3.341550729737985392e-01,2.943748027938848377e+00,-3.125846786187893578e-01,6.341420717013664188e+01,-5.271131864270497402e+01,2.904207486337442035e+01
1.100000000000000089e+00,2.523839548528601373e+00,-1.381948429100668285e+00,2.879699762644332139e-01,-7.618305233505533458e-01,9.791880316878638357e-01,-4.803868737935750866e-01,9.263748761251185820e-03,2.544186395524525302e-01,-5.192539637882145342e+01,2.749652299800198207e+01,-9.184558231183004295e-02,2.877420290366156763e+00,-2.879699762644332139e-01,5.875632362629043826e+01,-5.041335097684682154e+01,2.360069490009611215e+01
1.150000000000000133e+00,2.473069870589309271e+00,-1.332720579111558612e+00,2.645648741938737558e-01,-8.115193160869413891e-01,9.843637872832444735e-01,-4.560337354670573329e-01,1.080363574512544465e-02,2.548944562101899680e-01,-4.952846574428783555e+01,2.199609360265162650e+01,1.119125420768209977e-01,2.809309297105619496e+00,-2.645648741938737558e-01,5.419314580977658125e+01,-4.803898710612394041e+01,1.857806724549873323e+01
1.200000000000000178e+00,2.420901939081425258e+00,-1.282833897485288421e+00,2.423788917606448656e-01,-8.569282949735332888e-01,9.822543260765185247e-01,-4.316226039244344115e-01,1.234989386796035704e-02,2.553828398018637702e-01,-4.686630060398628217e+01,1.661902406936835064e+01,2.816007378519858051e-01,2.739786306846849762e+00,-2.423788917606448656e-01,4.972566835469835667e+01,-4.559675776467636155e+01,1.405478790719019244e+01
1.250000000000000000e+00,2.367589288593603847e+00,-1.232561773917266290e+00,2.214092739381174901e-01,-8.978127406838279922e-01,9.732458924573792469e-01,-4.073776733280586315e-01,1.389977980628715436e-02,2.558812551501469801e-01,-4.390242898569307073e+01,1.140217971379514950e+01,4.212708224510821609e-01,2.669211038113180834e+00,-2.214092739381174901e-01,4.535893487582688977e+01,-4.312359881061561140e+01,1.003132553181048081e+01
1.300000000000000044e+00,2.313376675876288147e+00,-1.182178006646730895e+00,2.016430131313122764e-01,-9.338862361762271247e-01,9.577604732930810050e-01,-3.834851896511258240e-01,1.545054615323820067e-02,2.563872548632602499e-01,-4.065990118497090577e+01,6.502833105806551828e+00,5.345792682002725726e-01,2.597933117670211178e+00,-2.016430131313122764e-01,4.117662447036634177e+01,-4.065990118497090577e+01,6.502833105806551828e+00
1.350000000000000089e+00,2.258502355124124783e+00,-1.131948732238657440e+00,1.830586321412130957e-01,-9.648990412612206136e-01,9.364106420402310560e-01,-3.600979881403517657e-01,1.699952212081274130e-02,2.568984565821469390e-01,-3.824476785773831722e+01,3.450684993115390675e+00,6.248193771220558190e-01,2.526289931998685123e+00,-1.830586321412130957e-01,3.840012363800415329e+01,-3.824476785773831722e+01,3.450684993115390675e+00
1.400000000000000133e+00,2.203155706119821033e+00,-1.082083210927516914e+00,1.656277514681838703e-01,-9.920454920486007078e-01,9.117712455247002357e-01,-3.373395862416403990e-01,1.854460568652411406e-02,2.574129666990338516e-01,-3.583670995579301888e+01,7.430525376378440683e-01,6.949514142166597352e-01,2.454546626320130098e+00,-1.656277514681838703e-01,3.584441250082534935e+01,-3.583670995579301888e+01,7.430525376378440683e-01
