timeSec,positionX,positionY,positionZ,positionErrorM,speedMps,insideBox,currentX,currentY,currentZ,forceX,forceY,forceZ
0.000000000000000000e+00,8.017859709689702241e-02,2.698178591232748502e+00,-2.135974115498177284e+00,3.442234991934366217e+00,2.074632040554579004e-01,0.000000000000000000e+00,2.102953135899585102e-02,-2.178269372792110414e-01,-1.532940019640281239e-02,5.500000000000000000e+00,-5.500000000000000000e+00,5.500000000000000000e+00
5.000000000000000278e-02,9.026691314087559315e-02,2.692192744454211528e+00,-2.135754631864983821e+00,3.437658757996874481e+00,2.346509367759314624e-01,0.000000000000000000e+00,2.158167939433761062e-02,-2.181659863720419867e-01,-1.573337453851565010e-02,1.100000000000000000e+01,-1.100000000000000000e+01,1.100000000000000000e+01
1.000000000000000056e-01,1.017371808092927682e-01,2.684302924474980312e+00,-2.133854884265818708e+00,3.430622292151825459e+00,2.810162562061812586e-01,0.000000000000000000e+00,2.214052058015944513e-02,-2.185026426076868422e-01,-1.613621215116214230e-02,1.650000000000000355e+01,-1.650000000000000355e+01,1.650000000000000355e+01
1.500000000000000222e-01,1.151115539155087852e-01,2.674006986892361937e+00,-2.129765719067323371e+00,3.420448224123318948e+00,3.473335334862047152e-01,0.000000000000000000e+00,2.270603130550438720e-02,-2.188368991688683651e-01,-1.653788392950004960e-02,2.200000000000000000e+01,-2.200000000000000000e+01,2.200000000000000000e+01
2.000000000000000111e-01,1.308926179654705813e-01,2.660821622230845396e+00,-2.122997073657037603e+00,3.406496904082753741e+00,4.329944038882467816e-01,0.000000000000000000e+00,2.327818767762840357e-02,-2.191687492869025811e-01,-1.693836085291807944e-02,2.750000000000000000e+01,-2.750000000000000000e+01,2.750000000000000000e+01
2.500000000000000000e-01,1.484900678573417843e-01,2.644281649644932397e+00,-2.113077260475863195e+00,3.388121935769340620e+00,5.221661150971284027e-01,0.000000000000000000e+00,2.385696552300986539e-02,-2.194981862418359797e-01,-1.733761398713276614e-02,2.268906176090240479e+01,-3.300000000000000000e+01,3.300000000000000000e+01
3.000000000000000444e-01,1.672639700332566870e-01,2.623939337108019743e+00,-2.099552277899478181e+00,3.364692355643684518e+00,6.161799204621261072e-01,0.000000000000000000e+00,2.444234038837095335e-02,-2.198252033625814339e-01,-1.773561448627881607e-02,1.718906176090240479e+01,-3.850000000000000000e+01,3.850000000000000000e+01
3.500000000000000333e-01,1.865984007668095024e-01,2.599363747094107335e+00,-2.081985146961864874e+00,3.335591852287337122e+00,7.173238949600727610e-01,0.000000000000000000e+00,2.503428754171066473e-02,-2.201497940270534248e-01,-1.813233359499327735e-02,1.168906176090240656e+01,-4.399999999999999289e+01,4.399999999999999289e+01
4.000000000000000222e-01,2.059005457474814560e-01,2.570140106796349855e+00,-2.059955272951881522e+00,3.300216800433650732e+00,8.275045140670443944e-01,0.000000000000000000e+00,2.563278197334975528e-02,-2.204719516623021569e-01,-1.852774265049316263e-02,6.189061760902405673e+00,-4.949999999999999289e+01,4.949999999999999289e+01
4.500000000000000111e-01,2.245998334301332056e-01,2.536232047472564588e+00,-2.033062707355140386e+00,3.258260587467173952e+00,9.428955257755624597e-01,0.000000000000000000e+00,2.623779839698772709e-02,-2.207916697446464793e-01,-1.892181308464619544e-02,6.890617609024051182e-01,-5.151668310165405273e+01,5.495318651199340820e+01
5.000000000000000000e-01,2.421471008833747107e-01,2.497817891912246235e+00,-2.001493365603216112e+00,3.209938493519283842e+00,1.054547728865355305e+00,0.000000000000000000e+00,2.684931125077041902e-02,-2.211089417998061135e-01,-1.931451642603490559e-02,-4.810938239097595215e+00,-5.148546427488327026e+01,5.492603600025177002e+01
5.500000000000000444e-01,2.580137909181064448e-01,2.455087296119822682e+00,-1.965426631246989686e+00,3.155459806539732348e+00,1.162491289697489050e+00,0.000000000000000000e+00,2.746729469837083659e-02,-2.214237614030328261e-01,-1.970582430201375454e-02,-1.031093823909759521e+01,-5.128129452466964722e+01,5.489463686943054199e+01
